date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:23	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/theinterior/assets/css/owl.video.play.png	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/css/owl.video.play.png	(from https://themewagon.github.io/theinterior/assets/css/owl.carousel.min.css)
23:20:23	4990/4990	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263a2b0ba-137e%22	https://themewagon.github.io/theinterior/assets/fonts/Flaticon.eot	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/fonts/Flaticon.eot	(from https://themewagon.github.io/theinterior/assets/css/flaticon.css)
23:20:23	4990/4990	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263a2b0ba-137e%22	https://themewagon.github.io/theinterior/assets/fonts/Flaticon.eot?	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/fonts/Flaticond41d.eot	(from https://themewagon.github.io/theinterior/assets/css/flaticon.css)
23:20:24	2740/2740	---M--	200	added ('OK')	font/woff2	etag:%2263a2b0ba-ab4%22	https://themewagon.github.io/theinterior/assets/fonts/Flaticon.woff2	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/fonts/Flaticon.woff2	(from https://themewagon.github.io/theinterior/assets/css/flaticon.css)
23:20:24	3364/3364	---M--	200	added ('OK')	font/woff	etag:%2263a2b0ba-d24%22	https://themewagon.github.io/theinterior/assets/fonts/Flaticon.woff	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/fonts/Flaticon.woff	(from https://themewagon.github.io/theinterior/assets/css/flaticon.css)
23:20:24	4812/4812	---M-Z	200	added ('OK')	font/ttf	etag:W/%2263a2b0ba-12cc%22	https://themewagon.github.io/theinterior/assets/fonts/Flaticon.ttf	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/fonts/Flaticon.ttf	(from https://themewagon.github.io/theinterior/assets/css/flaticon.css)
23:20:24	27545/27545	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263a2b0ba-6b99%22	https://themewagon.github.io/theinterior/assets/fonts/Flaticon.svg	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/fonts/Flaticon.svg	(from https://themewagon.github.io/theinterior/assets/css/flaticon.css)
23:20:25	98620/98620	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263a2b0ba-1813c%22	https://themewagon.github.io/theinterior/assets/fonts/fa-brands-400.eot	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/fonts/fa-brands-400.eot	(from https://themewagon.github.io/theinterior/assets/css/fontawesome-all.min.css)
23:20:25	98620/98620	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263a2b0ba-1813c%22	https://themewagon.github.io/theinterior/assets/fonts/fa-brands-400.eot?	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/fonts/fa-brands-400d41d.eot	(from https://themewagon.github.io/theinterior/assets/css/fontawesome-all.min.css)
23:20:25	54420/54420	---M--	200	added ('OK')	font/woff2	etag:%2263a2b0ba-d494%22	https://themewagon.github.io/theinterior/assets/fonts/fa-brands-400.woff2	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/fonts/fa-brands-400.woff2	(from https://themewagon.github.io/theinterior/assets/css/fontawesome-all.min.css)
